departamento,habilitados,municipio,votantes,votos_no_marcados,votos_nulos,votacion
Antioquia,19147,Zaragoza,6154,412,615,camara
Bolivar,8385,San Fernando,5025,75,286,camara
La Guajira,32348,San Juan Del Cesar,19772,529,1714,camara
Cundinamarca,6440,Nilo,2784,68,160,camara
Antioquia,12348,Jardin,5650,255,455,camara
Tolima,7144,Villahermosa,3325,130,280,camara
Santander,3252,Pinchote,1709,75,121,camara
Bolivar,10963,San Martin De Loba,5858,158,384,camara
Antioquia,5823,Anza,1882,126,180,camara
Guainia,20794,Inirida,12839,206,539,camara
Boyaca,9709,Saboya,5065,232,516,camara
Antioquia,6170,Montebello,2404,134,204,camara
Caldas,328191,Manizales,182418,4599,21268,camara
Valle,70877,Candelaria,35941,886,3871,camara
Cauca,11108,Totoro,5460,326,381,camara
Antioquia,6275,Caicedo,2396,108,172,camara
